iter	Logloss
0	0.632243663
1	0.5888435239
2	0.5517561018
3	0.5225084083
4	0.5004280743
5	0.4830160181
6	0.4713592027
7	0.4615820865
8	0.4540091506
9	0.4459441319
10	0.4414854845
11	0.4366227569
12	0.4325871245
13	0.4284710584
14	0.4268117379
15	0.4237461961
16	0.4227242764
17	0.4199980445
18	0.417899107
19	0.4163704812
20	0.4148281883
21	0.4135902563
22	0.4114922581
23	0.4100813099
24	0.4089692586
25	0.4073629888
26	0.4062308097
27	0.4055134281
28	0.4037937857
29	0.4031634624
30	0.4023700276
31	0.4013016323
32	0.4004909157
33	0.3992186675
34	0.3991571981
35	0.3986118516
36	0.3984849948
37	0.3979554456
38	0.3977208686
39	0.3972677117
40	0.3971763135
41	0.3971732737
42	0.396724931
43	0.3967161035
44	0.3966497312
45	0.3962557186
46	0.3958328901
47	0.3955066063
48	0.3950992019
49	0.3950485984
50	0.3948863107
51	0.3944729116
52	0.3938890607
53	0.3935229845
54	0.393362865
55	0.3932724649
56	0.3929026506
57	0.3929026438
58	0.3929026343
59	0.3926644274
60	0.3926546553
61	0.3921653586
62	0.3918220075
63	0.3912505329
64	0.3910835378
65	0.3901914793
66	0.3898260766
67	0.3891513148
68	0.3886216009
69	0.3879985668
70	0.3877406548
71	0.3874187614
72	0.3872985274
73	0.386936659
74	0.3865786637
75	0.3863416974
76	0.3862301422
77	0.3860829418
78	0.3860620357
79	0.385926372
80	0.3857529267
81	0.385487256
82	0.3854865266
83	0.3854495093
84	0.3851252313
85	0.3850219811
86	0.3836215557
87	0.3830050412
88	0.3829996378
89	0.3826127258
90	0.3821533264
91	0.3817273646
92	0.3813096954
93	0.3805608034
94	0.3801697856
95	0.380072988
96	0.3797894446
97	0.3792966949
98	0.3786191154
99	0.3783813405
100	0.3777784913
101	0.377438406
102	0.376427595
103	0.3756904303
104	0.3752773312
105	0.3748811495
106	0.3746916581
107	0.3745410594
108	0.3744412315
109	0.3740630834
110	0.3739195995
111	0.3731224023
112	0.3729634567
113	0.3728028698
114	0.3723334655
115	0.3722136394
116	0.3717518533
117	0.371551682
118	0.3711484498
119	0.370957979
120	0.3707279158
121	0.3705918432
122	0.3702014031
123	0.3697212708
124	0.3694887427
125	0.3688405506
126	0.3687188217
127	0.3683638868
128	0.3683500941
129	0.3678313223
130	0.3674368862
131	0.3672319652
132	0.3670839927
133	0.3666368348
134	0.3664908788
135	0.3658494195
136	0.3656988516
137	0.3652842936
138	0.3647465986
139	0.3643759472
140	0.3642096051
141	0.3638330045
142	0.3637038461
143	0.3635638068
144	0.3634517777
145	0.3631396242
146	0.3629196983
147	0.3628607393
148	0.362705933
149	0.3625352426
150	0.3623778361
151	0.3623054401
152	0.361734913
153	0.3615943232
154	0.3615038963
155	0.3607269987
156	0.3604175562
157	0.3599502376
158	0.3598197924
159	0.3597098274
160	0.3593224058
161	0.3589460357
162	0.3586706078
163	0.3579530238
164	0.3573673582
165	0.3571404707
166	0.3564474894
167	0.356103296
168	0.3556024406
169	0.3552594715
170	0.3547240076
171	0.3542289849
172	0.3538810929
173	0.3537038966
174	0.3532514847
175	0.3527832754
176	0.3523958258
177	0.3519791914
178	0.3513722562
179	0.3511621912
180	0.3510873744
181	0.3510078429
182	0.3508737765
183	0.35050866
184	0.3500308513
185	0.3497170604
186	0.3494809775
187	0.3492538629
188	0.3487547598
189	0.3481250354
190	0.3478065035
191	0.3470601282
192	0.3468730962
193	0.3462646185
194	0.3459811173
195	0.345735444
196	0.3456562477
197	0.3453896147
198	0.3450893187
199	0.3448795356
200	0.3446146538
201	0.3439363525
202	0.3435153737
203	0.3430734844
204	0.342923498
205	0.342495904
206	0.3420138644
207	0.3418410108
208	0.3417708303
209	0.3417165816
210	0.3412657828
211	0.3411471027
212	0.3407135396
213	0.3404642489
214	0.3401649845
215	0.3395034807
216	0.339234539
217	0.3388585065
218	0.3387068444
219	0.3382024566
220	0.3375459042
221	0.3370521698
222	0.3364158195
223	0.3363463405
224	0.3360709408
225	0.3358404509
226	0.3355673856
227	0.3354053026
228	0.3351262159
229	0.334893909
230	0.3343301786
231	0.3339573953
232	0.3337792968
233	0.3334964163
234	0.3331046826
235	0.3330334739
236	0.3327800422
237	0.3322915591
238	0.3320902328
239	0.3319944776
240	0.3315717764
241	0.331353024
242	0.3310147444
243	0.3306557512
244	0.3302791603
245	0.3300202204
246	0.3297263638
247	0.3293124275
248	0.3287982625
249	0.3284050525
250	0.3280227987
251	0.3279503057
252	0.3276381857
253	0.3272372289
254	0.3270586388
255	0.3262270859
256	0.3261242914
257	0.3257138753
258	0.3248534621
259	0.3244374248
260	0.3239419226
261	0.3233700732
262	0.3232163824
263	0.3231629427
264	0.3229903133
265	0.3222612736
266	0.322230716
267	0.3220567376
268	0.3218592599
269	0.3216539273
270	0.321240317
271	0.3207370364
272	0.3200489942
273	0.319850562
274	0.3196119959
275	0.3192938369
276	0.31883119
277	0.3182740871
278	0.3181117281
279	0.3179916087
280	0.3176647599
281	0.3169175553
282	0.316854634
283	0.3164722237
284	0.3161464421
285	0.3156952953
286	0.3155129286
287	0.3153887731
288	0.3152836308
289	0.3149149648
290	0.3148659275
291	0.3144695554
292	0.3142881866
293	0.3136524691
294	0.3135702969
295	0.3134525009
296	0.3132328529
297	0.3129582732
298	0.3123461606
299	0.3121722284
